Place_Id,Rating,Number_Ratings
ChIJJ79LQ0aq2EcRqspvnrJ0gGM,4.2,64
ChIJfWvicFeq2EcRzHjjR0nPMH4,4.7,130
ChIJ_7roc3-q2EcRo1l3FP8FaAs,4.1,191
ChIJc-RXTgiq2EcRIEWD-6U8F68,4.0,90
ChIJ9Zf_aqqr2EcRnHgBwaTl3ls,4.9,64
ChIJM4cpDTobdkgRx8LDQJ76Yu8,3.7,4373
ChIJSXkoEyYbdkgRpmQAturmT2k,3.9,1567
ChIJXX6W2iAFdkgREIjlbrOHCOw,4.5,1818
ChIJx_BjgDEFdkgRoN3QNXf9dAU,4.5,218
ChIJm_mee7cEdkgRM0sbLsHGeWg,4.6,6419
ChIJU3VpMEMDdkgRpGZTvZ-x7jI,4.2,760
ChIJr_4cVy8FdkgRIrNbO93eUFM,4.4,6057
ChIJVcvKc80EdkgRyV3q0YIzDvc,4.4,3508
ChIJDT5Fc7ccdkgRTJN0vGqwGNE,4.5,1973
ChIJARBMxLIadkgR-ahswfwrT8w,4.0,920
ChIJpy-n8ygbdkgRblRTJU1WiXA,3.7,1572
ChIJv2nJxtIEdkgR5BVDRcOlpog,4.4,857
ChIJ-dNEa9MadkgRNYqylAShZqU,4.8,1260
ChIJ94DTm1cDdkgRibmgxzXy2EQ,4.5,2088
ChIJ8xZFCNIEdkgRh6ulrAY-hOw,4.6,343
ChIJlRMXcDsbdkgRJdsP3nlUkBg,4.5,2638
ChIJ5574rdIEdkgRA9294QpXDhw,4.7,11013
ChIJR_tP9tIEdkgR50LK64QCsck,4.5,1586
ChIJbc-9tKgEdkgR2qNGtGhKWLc,4.3,1982
ChIJ70dbCqkEdkgR_2rXCHnP0aQ,4.3,3039
ChIJe6d449wAdkgRZPwin12YzPU,4.3,320
ChIJgdGJVyMHdkgRHKzCOp_0wGU,2.6,54
ChIJNS_vQ7EHdkgRFyK2VdPwcBQ,4.0,51
ChIJ-WvL5pwHdkgRqqF2HK8LUXY,4.7,72
ChIJq-fOaGoHdkgRvkMkjIfTPHo,4.3,90
ChIJ21zcuFMHdkgRh-QbHbjKxs8,4.7,348
ChIJq3cuZSkHdkgRR-RY_6fw3ow,4.4,165
ChIJT5vUeiMBdkgRZ9f-RcPCAbc,4.6,206
ChIJh_Hx1TMHdkgRD1iVBwvtUOQ,4.2,56
ChIJM97UeAEHdkgRjDWhyplj3Mo,5.0,2
ChIJPUgZ0CYHdkgRJa6AJdqGXSM,4.3,75
ChIJ2TGVnjEHdkgRIAhxj6LcQKA,3.3,108
ChIJNQzkGBYHdkgRQer4GIung1E,4.0,3
ChIJrzNRjjYHdkgR-MHNcB5Tww4,4.8,305
ChIJ6Se2ljYHdkgRLtO-G6KxKJ4,4.8,1254
ChIJ9S-z7zMHdkgRTmJQjgzJJBo,4.2,456
ChIJDT-3PTEHdkgRKE5gsi5UCUM,4.3,174
ChIJYXTMODMHdkgRh4O8AAYyv-Q,4.1,498
ChIJTRLMMDMHdkgRqePhdxMY-E4,4.7,646
ChIJjUnXzcwAdkgRHYG4WUom9Zc,3.9,143
ChIJP1sJ24sRdkgRub025F6UBxU,4.5,5503
ChIJg8sNzcUNdkgR_S-B1tKKYTU,4.5,626
ChIJYe6r5ngOdkgRf6SVcbMsQ0k,4.5,238
ChIJR-ldBggNdkgREAGotmsEobM,3.6,51
ChIJvdO_R_MRdkgRztxcqEwrrtQ,4.3,400
ChIJb_iYL-4RdkgRfILoKI4ebYM,3.5,1045
ChIJbcpVz_QNdkgR_lEpKWoNYjo,4.1,561
ChIJdQPH2ooNdkgRBrfbYIFbHVc,4.3,371
ChIJc6omM9cNdkgRvrMpr224nbk,4.3,1013
ChIJrRFJoWwOdkgResXT_6d6W4U,4.2,378
ChIJn41YYUIOdkgR7Axs1ca0HZQ,4.6,938
ChIJZ0evRYYNdkgRy-FGu1dUr2U,3.6,266
ChIJE8vwrl4NdkgRw2tHb1qShmk,3.8,225
ChIJP-gIz5eqd0gRdUMyi6EZOkA,3.9,229
ChIJg4wor8IRdkgRgAwqnD6Ri8g,4.1,2728
ChIJA_7iA98NdkgR8IfbXecH1vg,3.5,1082
ChIJl2L7z2cSdkgRo74jxAuXx0A,4.1,742
